fc18-134,"1/4"" Oldham Coupling Hub",http://firstchoicebyandymark.com/content/images/thumbs/0000967_14-oldham-coupling-hub-fc18-134_125.jpeg,10
fc18-139,"3/8"" Jaw Coupling Hub",http://firstchoicebyandymark.com/content/images/thumbs/0000972_38-jaw-coupling-hub-fc18-139_125.jpeg,10
fc18-140,"3/8"" Oldham Coupling Hub",http://firstchoicebyandymark.com/content/images/thumbs/0000973_38-oldham-coupling-hub-fc18-140_125.jpeg,10
fc18-141,"3/8"" Shaft Collar",http://firstchoicebyandymark.com/content/images/thumbs/0000974_38-shaft-collar-fc18-141_125.jpeg,5
fc18-143,"3/8"" Thin Shaft Collar",http://firstchoicebyandymark.com/content/images/thumbs/0000976_38-thin-shaft-collar-fc18-143_125.jpeg,5
fc18-144,"3/8"" Thin Shaft Collar",http://firstchoicebyandymark.com/content/images/thumbs/0000977_38-thin-shaft-collar-fc18-144_125.jpeg,5
fc18-145,"3/8"" x 3/8"" Rigid Coupling",http://firstchoicebyandymark.com/content/images/thumbs/0000978_38-x-38-rigid-coupling-fc18-145_125.jpeg,20
fc18-146,"Jaw Coupling Spider",http://firstchoicebyandymark.com/content/images/thumbs/0000979_jaw-coupling-spider-fc18-146_125.jpeg,5
fc18-147,"Oldham Coupling Disk",http://firstchoicebyandymark.com/content/images/thumbs/0000980_oldham-coupling-disk-fc18-147_125.jpeg,5
fc18-148,"Shaft Collar, 1/4 in.",http://firstchoicebyandymark.com/content/images/thumbs/0000981_shaft-collar-14-in-fc18-148_125.jpeg,5
fc18-151,"Talon SRX",http://firstchoicebyandymark.com/content/images/thumbs/0000986_talon-srx-fc18-151_125.jpeg,100
